state,year,condition,instrument,measure,question_id,orientation,strat_category,strat_group,value,ci_lo,ci_hi,unit,suppressed,no_data,caution,footnote_symbol,footnote
AK,2019,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.5,8.9,12.4,%,False,False,False,,
AK,2020,asthma,brfss,prevalence,AST02,direct,Overall,Overall,9.8,8.4,11.5,%,False,False,False,,
AK,2021,asthma,brfss,prevalence,AST02,direct,Overall,Overall,9.9,8.8,11.2,%,False,False,False,,
AK,2022,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.7,9.6,11.9,%,False,False,False,,
AK,2023,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.9,9.7,12.1,%,False,False,False,,
AL,2019,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.3,9.2,11.4,%,False,False,False,,
AL,2020,asthma,brfss,prevalence,AST02,direct,Overall,Overall,9.7,8.7,10.9,%,False,False,False,,
AL,2021,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.7,9.4,12.1,%,False,False,False,,
AL,2022,asthma,brfss,prevalence,AST02,direct,Overall,Overall,9.7,8.5,11.0,%,False,False,False,,
AL,2023,asthma,brfss,prevalence,AST02,direct,Overall,Overall,8.9,7.7,10.1,%,False,False,False,,
AR,2019,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.1,8.9,11.4,%,False,False,False,,
AR,2020,asthma,brfss,prevalence,AST02,direct,Overall,Overall,9.6,8.5,10.9,%,False,False,False,,
AR,2021,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.1,8.8,11.6,%,False,False,False,,
AR,2022,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.4,9.3,11.6,%,False,False,False,,
AR,2023,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.0,8.9,11.3,%,False,False,False,,
AZ,2019,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.5,9.4,11.7,%,False,False,False,,
AZ,2020,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.2,9.4,11.1,%,False,False,False,,
AZ,2021,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.0,9.3,10.9,%,False,False,False,,
AZ,2022,asthma,brfss,prevalence,AST02,direct,Overall,Overall,9.8,8.8,10.8,%,False,False,False,,
AZ,2023,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.4,9.4,11.3,%,False,False,False,,
CA,2019,asthma,brfss,prevalence,AST02,direct,Overall,Overall,8.3,7.7,9.0,%,False,False,False,,
CA,2020,asthma,brfss,prevalence,AST02,direct,Overall,Overall,9.9,8.8,11.2,%,False,False,False,,
CA,2021,asthma,brfss,prevalence,AST02,direct,Overall,Overall,9.4,8.5,10.4,%,False,False,False,,
CA,2022,asthma,brfss,prevalence,AST02,direct,Overall,Overall,8.7,7.9,9.5,%,False,False,False,,
CA,2023,asthma,brfss,prevalence,AST02,direct,Overall,Overall,8.8,8.0,9.6,%,False,False,False,,
CO,2019,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.7,10.0,11.6,%,False,False,False,,
CO,2020,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.5,9.7,11.2,%,False,False,False,,
CO,2021,asthma,brfss,prevalence,AST02,direct,Overall,Overall,11.2,10.5,12.0,%,False,False,False,,
CO,2022,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.9,10.1,11.8,%,False,False,False,,
CO,2023,asthma,brfss,prevalence,AST02,direct,Overall,Overall,11.4,10.5,12.3,%,False,False,False,,
CT,2019,asthma,brfss,prevalence,AST02,direct,Overall,Overall,11.4,10.4,12.5,%,False,False,False,,
CT,2020,asthma,brfss,prevalence,AST02,direct,Overall,Overall,11.7,10.6,12.9,%,False,False,False,,
CT,2021,asthma,brfss,prevalence,AST02,direct,Overall,Overall,11.4,10.4,12.4,%,False,False,False,,
CT,2022,asthma,brfss,prevalence,AST02,direct,Overall,Overall,12.5,11.5,13.6,%,False,False,False,,
CT,2023,asthma,brfss,prevalence,AST02,direct,Overall,Overall,11.0,10.0,12.1,%,False,False,False,,
DC,2019,asthma,brfss,prevalence,AST02,direct,Overall,Overall,12.1,10.6,13.8,%,False,False,False,,
DC,2020,asthma,brfss,prevalence,AST02,direct,Overall,Overall,11.6,10.2,13.1,%,False,False,False,,
DC,2021,asthma,brfss,prevalence,AST02,direct,Overall,Overall,12.7,11.0,14.5,%,False,False,False,,
DC,2022,asthma,brfss,prevalence,AST02,direct,Overall,Overall,11.0,9.6,12.5,%,False,False,False,,
DC,2023,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.7,9.1,12.5,%,False,False,False,,
DE,2019,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.9,9.4,12.6,%,False,False,False,,
DE,2020,asthma,brfss,prevalence,AST02,direct,Overall,Overall,11.4,9.9,13.0,%,False,False,False,,
DE,2021,asthma,brfss,prevalence,AST02,direct,Overall,Overall,11.0,9.5,12.7,%,False,False,False,,
DE,2022,asthma,brfss,prevalence,AST02,direct,Overall,Overall,9.8,8.6,11.3,%,False,False,False,,
DE,2023,asthma,brfss,prevalence,AST02,direct,Overall,Overall,11.4,9.9,13.1,%,False,False,False,,
FL,2019,asthma,brfss,prevalence,AST02,direct,Overall,Overall,7.9,7.0,8.8,%,False,False,False,,
FL,2020,asthma,brfss,prevalence,AST02,direct,Overall,Overall,7.7,6.8,8.7,%,False,False,False,,
FL,2021,asthma,brfss,prevalence,AST02,direct,Overall,Overall,,,,%,False,True,False,*,No data available
FL,2022,asthma,brfss,prevalence,AST02,direct,Overall,Overall,9.3,8.3,10.5,%,False,False,False,,
FL,2023,asthma,brfss,prevalence,AST02,direct,Overall,Overall,8.5,7.5,9.5,%,False,False,False,,
GA,2019,asthma,brfss,prevalence,AST02,direct,Overall,Overall,8.2,7.3,9.2,%,False,False,False,,
GA,2020,asthma,brfss,prevalence,AST02,direct,Overall,Overall,9.4,8.5,10.5,%,False,False,False,,
GA,2021,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.8,9.7,11.9,%,False,False,False,,
GA,2022,asthma,brfss,prevalence,AST02,direct,Overall,Overall,9.6,8.6,10.6,%,False,False,False,,
GA,2023,asthma,brfss,prevalence,AST02,direct,Overall,Overall,9.4,8.4,10.4,%,False,False,False,,
GU,2019,asthma,brfss,prevalence,AST02,direct,Overall,Overall,5.5,4.0,7.4,%,False,False,False,,
GU,2020,asthma,brfss,prevalence,AST02,direct,Overall,Overall,5.5,4.0,7.7,%,False,False,False,,
GU,2021,asthma,brfss,prevalence,AST02,direct,Overall,Overall,5.0,3.7,6.7,%,False,False,False,,
GU,2022,asthma,brfss,prevalence,AST02,direct,Overall,Overall,6.8,5.0,9.2,%,False,False,False,,
GU,2023,asthma,brfss,prevalence,AST02,direct,Overall,Overall,6.1,4.4,8.4,%,False,False,False,,
HI,2019,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.5,9.5,11.5,%,False,False,False,,
HI,2020,asthma,brfss,prevalence,AST02,direct,Overall,Overall,9.1,8.2,10.0,%,False,False,False,,
HI,2021,asthma,brfss,prevalence,AST02,direct,Overall,Overall,8.5,7.7,9.5,%,False,False,False,,
HI,2022,asthma,brfss,prevalence,AST02,direct,Overall,Overall,9.3,8.3,10.3,%,False,False,False,,
HI,2023,asthma,brfss,prevalence,AST02,direct,Overall,Overall,9.8,8.8,10.9,%,False,False,False,,
IA,2019,asthma,brfss,prevalence,AST02,direct,Overall,Overall,8.9,8.2,9.6,%,False,False,False,,
IA,2020,asthma,brfss,prevalence,AST02,direct,Overall,Overall,9.9,9.2,10.7,%,False,False,False,,
IA,2021,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.0,9.2,10.9,%,False,False,False,,
IA,2022,asthma,brfss,prevalence,AST02,direct,Overall,Overall,9.7,8.9,10.7,%,False,False,False,,
IA,2023,asthma,brfss,prevalence,AST02,direct,Overall,Overall,9.0,8.2,9.8,%,False,False,False,,
ID,2019,asthma,brfss,prevalence,AST02,direct,Overall,Overall,11.2,10.0,12.6,%,False,False,False,,
ID,2020,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.2,9.1,11.5,%,False,False,False,,
ID,2021,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.5,9.5,11.4,%,False,False,False,,
ID,2022,asthma,brfss,prevalence,AST02,direct,Overall,Overall,11.1,10.1,12.2,%,False,False,False,,
ID,2023,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.5,9.5,11.6,%,False,False,False,,
IL,2019,asthma,brfss,prevalence,AST02,direct,Overall,Overall,8.7,7.8,9.7,%,False,False,False,,
IL,2020,asthma,brfss,prevalence,AST02,direct,Overall,Overall,9.1,7.9,10.5,%,False,False,False,,
IL,2021,asthma,brfss,prevalence,AST02,direct,Overall,Overall,9.4,8.0,11.0,%,False,False,False,,
IL,2022,asthma,brfss,prevalence,AST02,direct,Overall,Overall,8.8,7.7,10.0,%,False,False,False,,
IL,2023,asthma,brfss,prevalence,AST02,direct,Overall,Overall,9.7,8.6,10.9,%,False,False,False,,
IN,2019,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.7,9.8,11.6,%,False,False,False,,
IN,2020,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.3,9.5,11.2,%,False,False,False,,
IN,2021,asthma,brfss,prevalence,AST02,direct,Overall,Overall,11.5,10.7,12.4,%,False,False,False,,
IN,2022,asthma,brfss,prevalence,AST02,direct,Overall,Overall,11.0,10.2,11.8,%,False,False,False,,
IN,2023,asthma,brfss,prevalence,AST02,direct,Overall,Overall,11.5,10.7,12.4,%,False,False,False,,
KS,2019,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.7,10.0,11.5,%,False,False,False,,
KS,2020,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.6,9.8,11.4,%,False,False,False,,
KS,2021,asthma,brfss,prevalence,AST02,direct,Overall,Overall,11.5,10.9,12.1,%,False,False,False,,
KS,2022,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.8,10.0,11.6,%,False,False,False,,
KS,2023,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.1,9.3,11.0,%,False,False,False,,
