state,year,condition,brfss_prevalence_aa,brfss_prevalence_lo,brfss_prevalence_hi,nvss_mortality_aa,nvss_mortality_lo,nvss_mortality_hi,cms_hospitalization_aa,cms_hospitalization_lo,cms_hospitalization_hi,brfss_treatment_rate,brfss_treatment_lo,brfss_treatment_hi,brfss_treatment_question,n_suppressed
AK,2019,copd,4.6,3.7,5.6,81.7,69.4,93.9,3.66,3.2,4.12,45.6,34.3,57.4,COPD02,0
AK,2020,copd,4.6,3.8,5.5,81.8,69.5,94.1,1.64,1.35,1.94,60.9,48.2,72.3,COPD02,0
AK,2021,copd,5.5,4.7,6.3,93.1,80.0,106.1,1.6,1.32,1.87,63.9,54.7,72.2,COPD02,0
AK,2022,copd,5.4,4.7,6.2,81.4,69.6,93.2,2.02,1.71,2.32,67.2,57.1,76.0,COPD02,0
AK,2023,copd,5.6,4.8,6.5,,,,,,,58.5,49.9,66.7,COPD02,0
AL,2019,copd,9.3,8.4,10.3,154.5,149.3,159.7,14.93,14.58,15.28,56.5,49.5,63.2,COPD02,0
AL,2020,copd,8.9,7.9,10.0,147.0,142.0,152.1,9.01,8.73,9.28,51.6,43.0,60.0,COPD02,0
AL,2021,copd,8.6,7.6,9.8,140.8,135.9,145.8,8.27,7.99,8.54,56.3,47.0,65.2,COPD02,0
AL,2022,copd,8.3,7.4,9.4,130.5,125.8,135.1,8.5,8.22,8.79,58.2,50.0,65.9,COPD02,0
AL,2023,copd,8.0,7.0,9.1,,,,,,,65.9,58.4,72.6,COPD02,0
AR,2019,copd,9.7,8.7,10.8,167.1,160.2,173.9,8.67,8.36,8.97,47.7,38.8,56.7,COPD02,0
AR,2020,copd,8.1,7.2,9.0,168.4,161.6,175.3,5.28,5.04,5.51,51.7,40.3,63.0,COPD02,0
AR,2021,copd,8.7,7.8,9.8,170.9,163.8,177.9,5.09,4.86,5.33,52.4,41.3,63.3,COPD02,0
AR,2022,copd,8.9,8.0,9.9,166.3,159.5,173.1,5.34,5.09,5.58,66.5,57.4,74.5,COPD02,0
AR,2023,copd,8.0,7.2,9.0,,,,,,,64.3,55.6,72.1,COPD02,0
AZ,2019,copd,6.0,5.3,6.9,104.8,101.3,108.3,6.15,5.96,6.35,56.2,46.4,65.6,COPD02,0
AZ,2020,copd,5.4,4.8,6.0,99.7,96.4,103.0,4.2,4.04,4.36,73.4,66.2,79.5,COPD02,0
AZ,2021,copd,5.1,4.5,5.6,101.3,97.9,104.7,3.67,3.52,3.82,70.1,62.5,76.7,COPD02,0
AZ,2022,copd,5.9,5.3,6.7,96.7,93.5,100.0,4.2,4.04,4.35,67.2,59.0,74.5,COPD02,0
AZ,2023,copd,4.9,4.4,5.4,,,,,,,69.7,59.5,78.2,COPD02,0
CA,2019,copd,4.2,3.8,4.7,79.7,78.3,81.1,7.12,7.02,7.22,77.4,70.6,83.0,COPD02,0
CA,2020,copd,5.1,4.3,6.0,76.7,75.4,78.1,4.15,4.07,4.23,77.2,65.7,85.7,COPD02,0
CA,2021,copd,4.4,3.8,5.0,71.6,70.2,72.9,3.47,3.39,3.54,79.7,73.9,84.5,COPD02,0
CA,2022,copd,4.4,3.9,4.9,70.2,69.0,71.5,4.05,3.98,4.13,76.7,69.8,82.4,COPD02,0
CA,2023,copd,3.9,3.5,4.4,,,,,,,75.7,67.5,82.3,COPD02,0
CO,2019,copd,4.3,3.8,4.7,113.7,109.1,118.3,4.61,4.39,4.82,62.2,52.4,71.1,COPD02,0
CO,2020,copd,4.3,3.9,4.7,108.9,104.5,113.3,2.98,2.8,3.15,60.4,52.5,67.8,COPD02,0
CO,2021,copd,4.8,4.3,5.3,104.5,100.1,109.0,2.68,2.52,2.85,65.2,57.5,72.1,COPD02,0
CO,2022,copd,4.9,4.4,5.5,105.4,101.1,109.7,3.15,2.98,3.33,75.5,69.4,80.8,COPD02,0
CO,2023,copd,4.3,3.8,4.8,,,,,,,75.4,68.5,81.1,COPD02,0
CT,2019,copd,4.6,4.1,5.2,76.3,72.2,80.4,7.71,7.41,8.01,63.4,55.1,71.1,COPD02,0
CT,2020,copd,4.6,4.0,5.2,66.3,62.5,70.1,4.95,4.7,5.19,64.1,52.2,74.4,COPD02,0
CT,2021,copd,4.5,4.0,5.1,64.8,61.0,68.7,5.11,4.86,5.37,69.1,58.6,78.0,COPD02,0
CT,2022,copd,5.0,4.4,5.7,65.9,62.1,69.7,6.21,5.92,6.49,72.6,65.4,78.8,COPD02,0
