state,year,condition,brfss_prevalence_aa,brfss_prevalence_lo,brfss_prevalence_hi,nvss_mortality_aa,nvss_mortality_lo,nvss_mortality_hi,cms_hospitalization_aa,cms_hospitalization_lo,cms_hospitalization_hi,brfss_treatment_rate,brfss_treatment_lo,brfss_treatment_hi,brfss_treatment_question,n_suppressed
CA,2021,copd,4.4,3.8,5.0,71.6,70.2,72.9,3.47,3.39,3.54,79.7,73.9,84.5,COPD02,0
CA,2022,copd,4.4,3.9,4.9,70.2,69.0,71.5,4.05,3.98,4.13,76.7,69.8,82.4,COPD02,0
GU,2021,copd,,,,,,,,,,,,,COPD02,2
GU,2022,copd,5.5,3.4,8.6,,,,,,,,,,COPD02,1
NJ,2021,copd,4.8,4.3,5.4,55.9,53.6,58.2,5.68,5.52,5.83,69.8,60.1,78.0,COPD02,0
NJ,2022,copd,4.9,4.2,5.7,58.9,56.6,61.2,6.54,6.37,6.7,67.1,56.5,76.1,COPD02,0
OK,2021,copd,7.3,6.5,8.2,168.5,162.1,174.8,4.53,4.33,4.73,59.6,51.6,67.2,COPD02,0
OK,2022,copd,7.5,6.8,8.3,173.4,167.1,179.7,4.56,4.36,4.77,53.8,45.4,62.0,COPD02,0
TN,2021,copd,9.3,8.4,10.4,142.7,138.4,147.0,5.87,5.68,6.06,62.7,55.5,69.4,COPD02,0
TN,2022,copd,10.6,9.6,11.7,129.9,125.8,133.9,5.53,5.34,5.71,52.9,46.4,59.3,COPD02,0
VT,2021,copd,5.7,5.0,6.5,86.2,76.1,96.3,2.93,2.6,3.26,48.4,39.4,57.4,COPD02,0
VT,2022,copd,5.9,5.3,6.6,80.9,71.3,90.5,2.94,2.6,3.28,61.2,50.4,71.1,COPD02,0
WY,2021,copd,5.6,4.8,6.6,134.3,119.8,148.9,2.19,1.88,2.5,55.5,45.8,64.8,COPD02,0
WY,2022,copd,6.0,5.3,6.8,126.5,112.9,140.1,2.56,2.23,2.89,68.1,57.5,77.0,COPD02,0
CA,2021,asthma,9.4,8.5,10.4,0.8,0.7,0.9,,,,,,,,0
CA,2022,asthma,8.7,7.9,9.5,0.9,0.8,1.0,,,,,,,,0
GU,2021,asthma,5.0,3.7,6.7,,,,,,,,,,,0
GU,2022,asthma,6.8,5.0,9.2,,,,,,,,,,,0
NJ,2021,asthma,10.0,9.0,11.0,1.2,1.0,1.4,,,,,,,,0
NJ,2022,asthma,8.8,8.0,9.7,0.9,0.8,1.1,,,,,,,,0
OK,2021,asthma,12.1,11.0,13.3,1.1,0.8,1.5,,,,,,,,0
OK,2022,asthma,12.4,11.3,13.5,1.4,1.1,1.8,,,,,,,,0
TN,2021,asthma,11.7,10.5,13.0,1.1,0.9,1.4,,,,,,,,0
TN,2022,asthma,11.7,10.5,13.0,1.1,0.9,1.4,,,,,,,,0
VT,2021,asthma,13.0,11.7,14.4,,,,,,,,,,,1
VT,2022,asthma,13.3,12.2,14.4,,,,,,,,,,,1
WY,2021,asthma,10.0,8.7,11.5,,,,,,,,,,,1
WY,2022,asthma,10.8,9.5,12.2,,,,,,,,,,,1
