LocationAbbr,YearStart,Topic,hospitalization,mortality,prevalence,hospitalization_lo,mortality_lo,prevalence_lo,hospitalization_hi,mortality_hi,prevalence_hi
AK,2019,Asthma,,,10.5,,,8.9,,,12.4
AK,2019,Cardiovascular Disease,9.8,129.7,32.8,9.05,120.5,30.4,10.55,138.9,35.3
AK,2019,Chronic Obstructive Pulmonary Disease,3.66,81.7,4.6,3.2,69.4,3.7,4.12,93.9,5.6
AK,2019,Diabetes,,45.8,7.2,,40.4,6.1,,51.2,8.5
AK,2020,Asthma,,,9.8,,,8.4,,,11.5
AK,2020,Cardiovascular Disease,8.69,139.8,,8.0,130.4,,9.38,149.3,
AK,2020,Chronic Obstructive Pulmonary Disease,1.64,81.8,4.6,1.35,69.5,3.8,1.94,94.1,5.5
AK,2020,Diabetes,,65.8,7.4,,59.5,6.4,,72.2,8.6
AK,2021,Asthma,,,9.9,,,8.8,,,11.2
AK,2021,Cardiovascular Disease,9.53,154.7,29.9,8.81,144.6,28.3,10.24,164.8,31.6
AK,2021,Chronic Obstructive Pulmonary Disease,1.6,93.1,5.5,1.32,80.0,4.7,1.87,106.1,6.3
AK,2021,Diabetes,,74.8,8.1,,68.1,7.2,,81.6,9.2
AK,2022,Asthma,,,10.7,,,9.6,,,11.9
AK,2022,Cardiovascular Disease,9.51,145.7,,8.83,136.3,,10.2,155.1,
AK,2022,Chronic Obstructive Pulmonary Disease,2.02,81.4,5.4,1.71,69.6,4.7,2.32,93.2,6.2
AK,2022,Diabetes,,65.4,8.5,,59.2,7.6,,71.6,9.4
AK,2023,Asthma,,,10.9,,,9.7,,,12.1
AK,2023,Cardiovascular Disease,,,32.6,,,31.1,,,34.2
AK,2023,Chronic Obstructive Pulmonary Disease,,,5.6,,,4.8,,,6.5
AK,2023,Diabetes,,,8.2,,,7.4,,,9.2
AL,2019,Asthma,,1.1,10.3,,0.8,9.2,,1.4,11.4
AL,2019,Cardiovascular Disease,31.2,219.6,39.4,30.69,215.8,38.1,31.72,223.4,40.8
AL,2019,Chronic Obstructive Pulmonary Disease,14.93,154.5,9.3,14.58,149.3,8.4,15.28,159.7,10.3
AL,2019,Diabetes,,52.6,12.4,,50.7,11.5,,54.4,13.2
AL,2020,Asthma,,1.2,9.7,,0.9,8.7,,1.6,10.9
AL,2020,Cardiovascular Disease,25.75,237.5,,25.28,233.6,,26.23,241.4,
