state,condition,strat_category,n_cells,n_suppressed,n_no_data,suppression_share
AK,asthma,Race/Ethnicity,63,43,0,0.6825396825396826
AK,asthma,Sex,18,8,0,0.4444444444444444
AK,cardiovascular,Race/Ethnicity,90,22,0,0.24444444444444444
AK,cardiovascular,Sex,28,0,0,0.0
AK,copd,Race/Ethnicity,118,77,4,0.6754385964912281
AK,copd,Sex,36,0,0,0.0
AK,diabetes,Race/Ethnicity,63,25,0,0.3968253968253968
AK,diabetes,Sex,18,0,0,0.0
AL,asthma,Race/Ethnicity,63,41,0,0.6507936507936508
AL,asthma,Sex,18,0,0,0.0
AL,cardiovascular,Race/Ethnicity,90,34,0,0.37777777777777777
AL,cardiovascular,Sex,28,0,0,0.0
AL,copd,Race/Ethnicity,118,73,2,0.6293103448275862
AL,copd,Sex,36,0,0,0.0
AL,diabetes,Race/Ethnicity,63,33,0,0.5238095238095238
AL,diabetes,Sex,18,0,0,0.0
AR,asthma,Race/Ethnicity,63,44,0,0.6984126984126984
AR,asthma,Sex,18,6,0,0.3333333333333333
AR,cardiovascular,Race/Ethnicity,90,28,0,0.3111111111111111
AR,cardiovascular,Sex,28,0,0,0.0
AR,copd,Race/Ethnicity,118,71,5,0.6283185840707964
AR,copd,Sex,36,0,0,0.0
AR,diabetes,Race/Ethnicity,63,25,0,0.3968253968253968
AR,diabetes,Sex,18,0,0,0.0
AZ,asthma,Race/Ethnicity,63,32,0,0.5079365079365079
AZ,asthma,Sex,18,0,0,0.0
AZ,cardiovascular,Race/Ethnicity,90,11,0,0.12222222222222222
AZ,cardiovascular,Sex,28,0,0,0.0
AZ,copd,Race/Ethnicity,118,52,2,0.4482758620689655
AZ,copd,Sex,36,0,0,0.0
AZ,diabetes,Race/Ethnicity,63,8,0,0.12698412698412698
AZ,diabetes,Sex,18,0,0,0.0
CA,asthma,Race/Ethnicity,63,20,0,0.31746031746031744
CA,asthma,Sex,18,0,0,0.0
CA,cardiovascular,Race/Ethnicity,90,9,0,0.1
CA,cardiovascular,Sex,28,0,0,0.0
CA,copd,Race/Ethnicity,118,42,2,0.3620689655172414
CA,copd,Sex,36,1,0,0.027777777777777776
CA,diabetes,Race/Ethnicity,63,8,0,0.12698412698412698
CA,diabetes,Sex,18,0,0,0.0
CO,asthma,Race/Ethnicity,63,37,0,0.5873015873015873
CO,asthma,Sex,18,1,0,0.05555555555555555
CO,cardiovascular,Race/Ethnicity,90,19,0,0.2111111111111111
CO,cardiovascular,Sex,28,0,0,0.0
CO,copd,Race/Ethnicity,118,65,4,0.5701754385964912
CO,copd,Sex,36,0,0,0.0
CO,diabetes,Race/Ethnicity,63,21,0,0.3333333333333333
CO,diabetes,Sex,18,0,0,0.0
CT,asthma,Race/Ethnicity,63,37,0,0.5873015873015873
CT,asthma,Sex,18,4,0,0.2222222222222222
CT,cardiovascular,Race/Ethnicity,90,34,0,0.37777777777777777
CT,cardiovascular,Sex,28,0,0,0.0
CT,copd,Race/Ethnicity,118,70,4,0.6140350877192983
CT,copd,Sex,36,0,0,0.0
CT,diabetes,Race/Ethnicity,63,25,0,0.3968253968253968
CT,diabetes,Sex,18,0,0,0.0
DC,asthma,Race/Ethnicity,63,47,0,0.746031746031746
DC,asthma,Sex,18,8,0,0.4444444444444444
DC,cardiovascular,Race/Ethnicity,90,44,1,0.4943820224719101
DC,cardiovascular,Sex,28,0,0,0.0
DC,copd,Race/Ethnicity,118,79,7,0.7117117117117117
DC,copd,Sex,36,5,0,0.1388888888888889
DC,diabetes,Race/Ethnicity,63,39,0,0.6190476190476191
DC,diabetes,Sex,18,0,0,0.0
DE,asthma,Race/Ethnicity,63,46,0,0.7301587301587301
DE,asthma,Sex,18,8,0,0.4444444444444444
DE,cardiovascular,Race/Ethnicity,90,33,1,0.3707865168539326
DE,cardiovascular,Sex,28,0,0,0.0
DE,copd,Race/Ethnicity,118,81,4,0.7105263157894737
DE,copd,Sex,36,0,0,0.0
DE,diabetes,Race/Ethnicity,63,35,0,0.5555555555555556
DE,diabetes,Sex,18,0,0,0.0
FL,asthma,Race/Ethnicity,63,28,7,0.5
FL,asthma,Sex,18,0,2,0.0
FL,cardiovascular,Race/Ethnicity,90,10,14,0.13157894736842105
FL,cardiovascular,Sex,28,0,4,0.0
FL,copd,Race/Ethnicity,118,41,14,0.3942307692307692
FL,copd,Sex,36,0,4,0.0
FL,diabetes,Race/Ethnicity,63,17,7,0.30357142857142855
FL,diabetes,Sex,18,0,2,0.0
GA,asthma,Race/Ethnicity,63,37,0,0.5873015873015873
GA,asthma,Sex,18,0,0,0.0
GA,cardiovascular,Race/Ethnicity,90,27,0,0.3
GA,cardiovascular,Sex,28,0,0,0.0
GA,copd,Race/Ethnicity,118,64,4,0.5614035087719298
GA,copd,Sex,36,0,0,0.0
GA,diabetes,Race/Ethnicity,63,26,0,0.4126984126984127
GA,diabetes,Sex,18,0,0,0.0
GU,asthma,Race/Ethnicity,35,19,4,0.6129032258064516
GU,asthma,Sex,10,0,0,0.0
GU,cardiovascular,Race/Ethnicity,42,10,4,0.2631578947368421
GU,cardiovascular,Sex,12,0,0,0.0
GU,copd,Race/Ethnicity,70,53,12,0.9137931034482759
GU,copd,Sex,20,11,0,0.55
GU,diabetes,Race/Ethnicity,35,9,4,0.2903225806451613
GU,diabetes,Sex,10,0,0,0.0
HI,asthma,Race/Ethnicity,63,38,0,0.6031746031746031
HI,asthma,Sex,18,8,0,0.4444444444444444
HI,cardiovascular,Race/Ethnicity,90,21,0,0.23333333333333334
HI,cardiovascular,Sex,28,0,0,0.0
HI,copd,Race/Ethnicity,118,55,1,0.4700854700854701
HI,copd,Sex,36,1,0,0.027777777777777776
HI,diabetes,Race/Ethnicity,63,18,0,0.2857142857142857
HI,diabetes,Sex,18,0,0,0.0
IA,asthma,Race/Ethnicity,63,39,0,0.6190476190476191
IA,asthma,Sex,18,2,0,0.1111111111111111
IA,cardiovascular,Race/Ethnicity,90,32,0,0.35555555555555557
IA,cardiovascular,Sex,28,0,0,0.0
IA,copd,Race/Ethnicity,118,85,3,0.7391304347826086
IA,copd,Sex,36,0,0,0.0
IA,diabetes,Race/Ethnicity,63,29,0,0.4603174603174603
IA,diabetes,Sex,18,0,0,0.0
ID,asthma,Race/Ethnicity,63,49,0,0.7777777777777778
ID,asthma,Sex,18,8,0,0.4444444444444444
ID,cardiovascular,Race/Ethnicity,90,46,0,0.5111111111111111
ID,cardiovascular,Sex,28,0,0,0.0
ID,copd,Race/Ethnicity,118,87,6,0.7767857142857143
ID,copd,Sex,36,0,0,0.0
ID,diabetes,Race/Ethnicity,63,36,0,0.5714285714285714
ID,diabetes,Sex,18,0,0,0.0
IL,asthma,Race/Ethnicity,63,37,0,0.5873015873015873
IL,asthma,Sex,18,0,0,0.0
IL,cardiovascular,Race/Ethnicity,90,27,1,0.30337078651685395
IL,cardiovascular,Sex,28,0,0,0.0
IL,copd,Race/Ethnicity,118,62,3,0.5391304347826087
IL,copd,Sex,36,0,0,0.0
IL,diabetes,Race/Ethnicity,63,24,0,0.38095238095238093
IL,diabetes,Sex,18,0,0,0.0
IN,asthma,Race/Ethnicity,63,34,0,0.5396825396825397
IN,asthma,Sex,18,0,0,0.0
IN,cardiovascular,Race/Ethnicity,90,28,0,0.3111111111111111
