condition,instrument,measure,strat_category,strat_group,n_cells,n_suppressed,n_no_data,n_reported,median_value,median_ci_width,median_ci_rel_width,n_states_any_suppressed,suppression_share
asthma,brfss,prevalence,Overall,Overall,270,0,6,264,10.5,2.1000000000000014,0.2041913539609392,0,0.0
asthma,brfss,prevalence,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",270,170,12,88,14.95,13.55,0.9101131292570266,46,0.6589147286821705
asthma,brfss,prevalence,Race/Ethnicity,"Asian, non-Hispanic",270,213,8,49,6.3,4.950000000000001,0.902563202247191,49,0.8129770992366412
asthma,brfss,prevalence,Race/Ethnicity,"Black, non-Hispanic",270,74,6,190,12.6,7.0,0.5679943100995732,19,0.2803030303030303
asthma,brfss,prevalence,Race/Ethnicity,Hispanic,270,53,6,211,9.4,5.8,0.6974789915966387,20,0.20075757575757575
asthma,brfss,prevalence,Race/Ethnicity,"Multiracial, non-Hispanic",270,82,7,181,17.1,14.1,0.8565737051792827,35,0.311787072243346
asthma,brfss,prevalence,Race/Ethnicity,"Native Hawaiian or Other Pacific Islander, non-Hispanic",270,248,11,11,8.9,6.300000000000001,0.9166666666666666,52,0.9575289575289575
asthma,brfss,prevalence,Race/Ethnicity,"White, non-Hispanic",270,13,6,251,10.5,2.5,0.2411347517730497,3,0.04924242424242424
asthma,brfss,prevalence,Sex,Female,270,0,6,264,13.2,3.3000000000000007,0.24893162393162388,0,0.0
asthma,brfss,prevalence,Sex,Male,270,2,6,262,7.6,2.6000000000000005,0.34778131436060666,1,0.007575757575757576
asthma,nvss,mortality,Overall,Overall,204,50,0,154,1.0,0.5,0.5,14,0.24509803921568626
asthma,nvss,mortality,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",204,204,0,0,,,,51,1.0
asthma,nvss,mortality,Race/Ethnicity,"Asian, non-Hispanic",204,200,0,4,0.75,0.4,0.5277777777777779,50,0.9803921568627451
asthma,nvss,mortality,Race/Ethnicity,"Black, non-Hispanic",204,131,0,73,2.6,1.5999999999999999,0.6315789473684211,35,0.6421568627450981
asthma,nvss,mortality,Race/Ethnicity,Hispanic,204,184,0,20,0.7,0.45,0.6,47,0.9019607843137255
asthma,nvss,mortality,Race/Ethnicity,"Multiracial, non-Hispanic",204,204,0,0,,,,51,1.0
asthma,nvss,mortality,Race/Ethnicity,"Native Hawaiian or Other Pacific Islander, non-Hispanic",204,204,0,0,,,,51,1.0
asthma,nvss,mortality,Race/Ethnicity,"White, non-Hispanic",204,71,0,133,0.8,0.5000000000000001,0.6250000000000001,22,0.3480392156862745
asthma,nvss,mortality,Sex,Female,204,77,0,127,1.2,0.7000000000000001,0.6000000000000001,23,0.37745098039215685
asthma,nvss,mortality,Sex,Male,204,96,0,108,0.9,0.6000000000000001,0.7142857142857143,28,0.47058823529411764
cardiovascular,brfss,prevalence,Overall,Overall,162,0,5,157,30.2,2.700000000000003,0.08868501529051993,0,0.0
cardiovascular,brfss,prevalence,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",162,53,8,101,35.6,19.700000000000003,0.5797546012269938,24,0.34415584415584416
cardiovascular,brfss,prevalence,Race/Ethnicity,"Asian, non-Hispanic",162,48,7,107,24.2,16.4,0.70446735395189,23,0.3096774193548387
cardiovascular,brfss,prevalence,Race/Ethnicity,"Black, non-Hispanic",162,25,5,132,40.3,9.649999999999999,0.24033879709836414,10,0.1592356687898089
cardiovascular,brfss,prevalence,Race/Ethnicity,Hispanic,162,3,5,154,28.3,10.450000000000001,0.40284258514347004,2,0.01910828025477707
cardiovascular,brfss,prevalence,Race/Ethnicity,"Multiracial, non-Hispanic",162,10,6,146,33.6,17.799999999999997,0.5135588972431078,7,0.0641025641025641
cardiovascular,brfss,prevalence,Race/Ethnicity,"Native Hawaiian or Other Pacific Islander, non-Hispanic",162,141,8,13,33.4,16.299999999999997,0.42558746736292424,50,0.9155844155844156
cardiovascular,brfss,prevalence,Race/Ethnicity,"White, non-Hispanic",162,3,5,154,29.6,3.25,0.10780298837852789,1,0.01910828025477707
cardiovascular,brfss,prevalence,Sex,Female,162,0,5,157,26.7,3.5,0.1273408239700374,0,0.0
cardiovascular,brfss,prevalence,Sex,Male,162,0,5,157,33.7,4.199999999999996,0.11940298507462686,0,0.0
cardiovascular,brfss,treatment,Overall,Overall,162,0,5,157,58.8,6.899999999999999,0.11523437500000011,0,0.0
cardiovascular,brfss,treatment,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",162,112,9,41,61.2,19.700000000000003,0.31061598951507213,42,0.7320261437908496
cardiovascular,brfss,treatment,Race/Ethnicity,"Asian, non-Hispanic",162,125,8,29,59.7,18.6,0.3120567375886525,45,0.8116883116883117
cardiovascular,brfss,treatment,Race/Ethnicity,"Black, non-Hispanic",162,43,6,113,65.1,16.6,0.250338294993234,15,0.27564102564102566
cardiovascular,brfss,treatment,Race/Ethnicity,Hispanic,162,39,5,118,55.650000000000006,16.7,0.3101218972522831,18,0.2484076433121019
cardiovascular,brfss,treatment,Race/Ethnicity,"Multiracial, non-Hispanic",162,79,7,76,55.0,22.65,0.43099700470688923,34,0.5096774193548387
cardiovascular,brfss,treatment,Race/Ethnicity,"Native Hawaiian or Other Pacific Islander, non-Hispanic",162,132,23,7,57.1,14.899999999999999,0.2718978102189781,50,0.9496402877697842
cardiovascular,brfss,treatment,Race/Ethnicity,"White, non-Hispanic",162,3,5,154,57.5,7.900000000000002,0.14225980982371647,1,0.01910828025477707
cardiovascular,brfss,treatment,Sex,Female,162,0,5,157,62.6,10.600000000000009,0.17272727272727273,0,0.0
cardiovascular,brfss,treatment,Sex,Male,162,0,5,157,56.0,8.300000000000004,0.14742451154529304,0,0.0
cardiovascular,cms,hospitalization,Overall,Overall,204,0,0,204,22.555,0.9499999999999993,0.03926433282597662,0,0.0
cardiovascular,cms,hospitalization,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",204,108,0,96,27.155,13.385,0.42137851537819704,30,0.5294117647058824
cardiovascular,cms,hospitalization,Race/Ethnicity,"Asian or Pacific Islander, non-Hispanic",204,43,0,161,16.57,6.879999999999999,0.36021285304952916,12,0.2107843137254902
cardiovascular,cms,hospitalization,Race/Ethnicity,"Black, non-Hispanic",204,30,0,174,50.76,5.450000000000001,0.11538383397161744,8,0.14705882352941177
cardiovascular,cms,hospitalization,Race/Ethnicity,Hispanic,204,20,0,184,24.015,7.055000000000001,0.26425634681633536,7,0.09803921568627451
cardiovascular,cms,hospitalization,Race/Ethnicity,"White, non-Hispanic",204,0,0,204,20.325,0.9649999999999999,0.046753830479059705,0,0.0
cardiovascular,cms,hospitalization,Sex,Female,204,0,0,204,21.675,1.2349999999999994,0.05420521128190277,0,0.0
cardiovascular,cms,hospitalization,Sex,Male,204,0,0,204,23.744999999999997,1.4699999999999998,0.05787975799669006,0,0.0
cardiovascular,nvss,mortality,Overall,Overall,204,0,0,204,162.7,7.6000000000000085,0.042525154211750495,0,0.0
cardiovascular,nvss,mortality,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",204,88,0,116,144.2,71.19999999999999,0.5293167616974538,26,0.43137254901960786
cardiovascular,nvss,mortality,Race/Ethnicity,"Asian, non-Hispanic",204,41,0,163,79.5,27.1,0.3892045454545453,11,0.20098039215686275
cardiovascular,nvss,mortality,Race/Ethnicity,"Black, non-Hispanic",204,31,0,173,215.3,27.299999999999983,0.1286443148688047,10,0.15196078431372548
cardiovascular,nvss,mortality,Race/Ethnicity,Hispanic,204,25,0,179,93.1,27.89999999999999,0.29508196721311475,8,0.12254901960784313
cardiovascular,nvss,mortality,Race/Ethnicity,"Multiracial, non-Hispanic",204,100,0,104,61.05,34.95,0.6304696467771838,28,0.49019607843137253
cardiovascular,nvss,mortality,Race/Ethnicity,"Native Hawaiian or Other Pacific Islander, non-Hispanic",204,173,0,31,197.3,141.2,0.6388888888888888,45,0.8480392156862745
